Device Serial Number: ,103
Device firmware: ,31
Device PM slope: ,0.9217
Device PM offset: ,-186
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:27:40 AM
Mission end date: ,08/29/2018 07:31:56 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1897
Number of logs: ,1897
Maximum 40 sample PM level:,1689
Minimum 40 sample PM level:,0
Average active PM concentration:,949
Average PM concentration:,412

Time Stamp, HAPEX 103, compliance
08/29/2018 09:27:40 AM,2,1
08/29/2018 09:27:59 AM,0,1
08/29/2018 09:28:18 AM,0,1
08/29/2018 09:28:37 AM,0,1
08/29/2018 09:28:56 AM,2,1
08/29/2018 09:29:15 AM,11,1
08/29/2018 09:29:34 AM,4,0
08/29/2018 09:29:53 AM,0,0
08/29/2018 09:30:12 AM,1,0
08/29/2018 09:30:32 AM,0,0
08/29/2018 09:30:51 AM,0,0
08/29/2018 09:31:10 AM,-1,1
08/29/2018 09:31:29 AM,0,1
08/29/2018 09:31:48 AM,1,1
08/29/2018 09:32:07 AM,0,1
08/29/2018 09:32:26 AM,1,1
08/29/2018 09:32:45 AM,2,0
08/29/2018 09:33:05 AM,1,0
08/29/2018 09:33:24 AM,1,1
08/29/2018 09:33:43 AM,2,1
08/29/2018 09:34:02 AM,0,1
08/29/2018 09:34:21 AM,10,1
08/29/2018 09:34:40 AM,4,1
08/29/2018 09:34:59 AM,0,1
08/29/2018 09:35:18 AM,0,1
08/29/2018 09:35:38 AM,0,1
08/29/2018 09:35:57 AM,0,1
08/29/2018 09:36:16 AM,1,1
08/29/2018 09:36:35 AM,-6,1
08/29/2018 09:36:54 AM,-1,1
08/29/2018 09:37:13 AM,0,1
08/29/2018 09:37:32 AM,-5,1
08/29/2018 09:37:51 AM,1,0
08/29/2018 09:38:11 AM,2,0
08/29/2018 09:38:30 AM,9,0
08/29/2018 09:38:49 AM,1,0
08/29/2018 09:39:08 AM,0,0
08/29/2018 09:39:27 AM,0,0
08/29/2018 09:39:46 AM,0,0
08/29/2018 09:40:05 AM,-1,0
08/29/2018 09:40:24 AM,0,0
08/29/2018 09:40:44 AM,-2,0
08/29/2018 09:41:03 AM,46,1
08/29/2018 09:41:22 AM,9,1
08/29/2018 09:41:41 AM,4,0
08/29/2018 09:42:00 AM,4,0
08/29/2018 09:42:19 AM,5,0
08/29/2018 09:42:38 AM,4,0
08/29/2018 09:42:57 AM,1,0
08/29/2018 09:43:16 AM,0,0
08/29/2018 09:43:36 AM,0,0
08/29/2018 09:43:55 AM,-4,0
08/29/2018 09:44:14 AM,-1,0
08/29/2018 09:44:33 AM,2,1
08/29/2018 09:44:52 AM,0,1
08/29/2018 09:45:11 AM,0,1
08/29/2018 09:45:30 AM,-1,0
08/29/2018 09:45:49 AM,-1,0
08/29/2018 09:46:09 AM,0,0
08/29/2018 09:46:28 AM,-4,0
08/29/2018 09:46:47 AM,0,1
08/29/2018 09:47:06 AM,0,0
08/29/2018 09:47:25 AM,-6,0
08/29/2018 09:47:44 AM,0,0
08/29/2018 09:48:03 AM,-1,0
08/29/2018 09:48:22 AM,0,0
08/29/2018 09:48:42 AM,0,0
08/29/2018 09:49:01 AM,-1,0
08/29/2018 09:49:20 AM,-2,0
08/29/2018 09:49:39 AM,0,1
08/29/2018 09:49:58 AM,0,1
08/29/2018 09:50:17 AM,1,0
08/29/2018 09:50:36 AM,0,0
08/29/2018 09:50:55 AM,-3,0
08/29/2018 09:51:15 AM,-1,0
08/29/2018 09:51:34 AM,-3,1
08/29/2018 09:51:53 AM,1,0
08/29/2018 09:52:12 AM,-4,0
08/29/2018 09:52:31 AM,-1,0
08/29/2018 09:52:50 AM,-2,1
08/29/2018 09:53:09 AM,0,0
08/29/2018 09:53:28 AM,5,1
08/29/2018 09:53:48 AM,0,1
08/29/2018 09:54:07 AM,0,0
08/29/2018 09:54:26 AM,-1,1
08/29/2018 09:54:45 AM,-6,1
08/29/2018 09:55:04 AM,-3,1
08/29/2018 09:55:23 AM,0,0
08/29/2018 09:55:42 AM,0,1
08/29/2018 09:56:01 AM,-2,1
08/29/2018 09:56:20 AM,0,0
08/29/2018 09:56:40 AM,17,0
08/29/2018 09:56:59 AM,40,0
08/29/2018 09:57:18 AM,106,0
08/29/2018 09:57:37 AM,212,0
08/29/2018 09:57:56 AM,310,0
08/29/2018 09:58:15 AM,3322,0
08/29/2018 09:58:34 AM,1593,0
08/29/2018 09:58:53 AM,883,0
08/29/2018 09:59:13 AM,457,1
08/29/2018 09:59:32 AM,507,1
08/29/2018 09:59:51 AM,603,1
08/29/2018 10:00:10 AM,864,1
08/29/2018 10:00:29 AM,1248,0
08/29/2018 10:00:48 AM,2577,1
08/29/2018 10:01:07 AM,2196,1
08/29/2018 10:01:26 AM,2506,1
08/29/2018 10:01:46 AM,2530,0
08/29/2018 10:02:05 AM,2229,0
08/29/2018 10:02:24 AM,1719,0
08/29/2018 10:02:43 AM,1377,1
08/29/2018 10:03:02 AM,1227,0
08/29/2018 10:03:21 AM,1163,0
08/29/2018 10:03:40 AM,1059,0
08/29/2018 10:03:59 AM,1168,1
08/29/2018 10:04:19 AM,1308,1
08/29/2018 10:04:38 AM,1139,0
08/29/2018 10:04:57 AM,1068,1
08/29/2018 10:05:16 AM,803,1
08/29/2018 10:05:35 AM,698,0
08/29/2018 10:05:54 AM,856,0
08/29/2018 10:06:13 AM,1181,1
08/29/2018 10:06:32 AM,970,0
08/29/2018 10:06:52 AM,949,0
08/29/2018 10:07:11 AM,1020,1
08/29/2018 10:07:30 AM,993,0
08/29/2018 10:07:49 AM,888,0
08/29/2018 10:08:08 AM,767,0
08/29/2018 10:08:27 AM,1201,0
08/29/2018 10:08:46 AM,1129,0
08/29/2018 10:09:05 AM,1325,0
08/29/2018 10:09:24 AM,1190,0
08/29/2018 10:09:44 AM,1023,1
08/29/2018 10:10:03 AM,1181,1
08/29/2018 10:10:22 AM,1090,0
08/29/2018 10:10:41 AM,826,0
08/29/2018 10:11:00 AM,724,1
08/29/2018 10:11:19 AM,635,0
08/29/2018 10:11:38 AM,610,0
08/29/2018 10:11:57 AM,916,0
08/29/2018 10:12:17 AM,1091,0
08/29/2018 10:12:36 AM,905,1
08/29/2018 10:12:55 AM,859,1
08/29/2018 10:13:14 AM,1009,0
08/29/2018 10:13:33 AM,994,0
08/29/2018 10:13:52 AM,882,0
08/29/2018 10:14:11 AM,1350,1
08/29/2018 10:14:30 AM,1060,0
08/29/2018 10:14:50 AM,872,1
08/29/2018 10:15:09 AM,1179,0
08/29/2018 10:15:28 AM,1098,0
08/29/2018 10:15:47 AM,1008,0
08/29/2018 10:16:06 AM,759,1
08/29/2018 10:16:25 AM,531,1
08/29/2018 10:16:44 AM,470,1
08/29/2018 10:17:03 AM,509,1
08/29/2018 10:17:23 AM,646,0
08/29/2018 10:17:42 AM,679,0
08/29/2018 10:18:01 AM,1005,1
08/29/2018 10:18:20 AM,965,0
08/29/2018 10:18:39 AM,1089,0
08/29/2018 10:18:58 AM,1110,0
08/29/2018 10:19:17 AM,1358,0
08/29/2018 10:19:36 AM,1387,0
08/29/2018 10:19:56 AM,1311,1
08/29/2018 10:20:15 AM,1131,1
08/29/2018 10:20:34 AM,1071,0
08/29/2018 10:20:53 AM,842,0
08/29/2018 10:21:12 AM,799,0
08/29/2018 10:21:31 AM,776,1
08/29/2018 10:21:50 AM,776,0
08/29/2018 10:22:09 AM,682,1
08/29/2018 10:22:28 AM,622,0
08/29/2018 10:22:48 AM,621,0
08/29/2018 10:23:07 AM,751,0
08/29/2018 10:23:26 AM,681,1
08/29/2018 10:23:45 AM,640,1
08/29/2018 10:24:04 AM,635,0
08/29/2018 10:24:23 AM,609,0
08/29/2018 10:24:42 AM,627,0
08/29/2018 10:25:01 AM,639,0
08/29/2018 10:25:21 AM,742,0
08/29/2018 10:25:40 AM,711,0
08/29/2018 10:25:59 AM,719,0
08/29/2018 10:26:18 AM,826,1
08/29/2018 10:26:37 AM,730,1
08/29/2018 10:26:56 AM,795,0
08/29/2018 10:27:15 AM,1035,0
08/29/2018 10:27:34 AM,1118,0
08/29/2018 10:27:54 AM,1141,1
08/29/2018 10:28:13 AM,1227,1
08/29/2018 10:28:32 AM,875,1
08/29/2018 10:28:51 AM,744,1
08/29/2018 10:29:10 AM,753,1
08/29/2018 10:29:29 AM,1044,0
08/29/2018 10:29:48 AM,1129,0
08/29/2018 10:30:07 AM,930,1
08/29/2018 10:30:27 AM,1107,0
08/29/2018 10:30:46 AM,1833,1
08/29/2018 10:31:05 AM,2293,1
08/29/2018 10:31:24 AM,2502,0
08/29/2018 10:31:43 AM,2095,0
08/29/2018 10:32:02 AM,1887,0
08/29/2018 10:32:21 AM,2154,0
08/29/2018 10:32:40 AM,1567,0
08/29/2018 10:33:00 AM,1332,0
08/29/2018 10:33:19 AM,1236,1
08/29/2018 10:33:38 AM,1106,0
08/29/2018 10:33:57 AM,1017,0
08/29/2018 10:34:16 AM,1212,0
08/29/2018 10:34:35 AM,1131,0
08/29/2018 10:34:54 AM,1048,0
08/29/2018 10:35:13 AM,1163,1
08/29/2018 10:35:32 AM,1524,1
08/29/2018 10:35:52 AM,1504,0
08/29/2018 10:36:11 AM,1447,0
08/29/2018 10:36:30 AM,1310,1
08/29/2018 10:36:49 AM,1014,0
08/29/2018 10:37:08 AM,712,0
08/29/2018 10:37:27 AM,560,1
08/29/2018 10:37:46 AM,539,1
08/29/2018 10:38:05 AM,373,1
08/29/2018 10:38:25 AM,347,0
08/29/2018 10:38:44 AM,323,0
08/29/2018 10:39:03 AM,251,0
08/29/2018 10:39:22 AM,235,0
08/29/2018 10:39:41 AM,209,0
08/29/2018 10:40:00 AM,195,0
08/29/2018 10:40:19 AM,205,0
08/29/2018 10:40:38 AM,158,0
08/29/2018 10:40:58 AM,147,0
08/29/2018 10:41:17 AM,160,0
08/29/2018 10:41:36 AM,129,0
08/29/2018 10:41:55 AM,124,0
08/29/2018 10:42:14 AM,123,0
08/29/2018 10:42:33 AM,103,0
08/29/2018 10:42:52 AM,93,0
08/29/2018 10:43:11 AM,83,0
08/29/2018 10:43:31 AM,88,0
08/29/2018 10:43:50 AM,82,0
08/29/2018 10:44:09 AM,74,0
08/29/2018 10:44:28 AM,68,0
08/29/2018 10:44:47 AM,82,0
08/29/2018 10:45:06 AM,62,0
08/29/2018 10:45:25 AM,67,0
08/29/2018 10:45:44 AM,52,1
08/29/2018 10:46:04 AM,58,0
08/29/2018 10:46:23 AM,54,0
08/29/2018 10:46:42 AM,48,0
08/29/2018 10:47:01 AM,43,0
08/29/2018 10:47:20 AM,45,0
08/29/2018 10:47:39 AM,44,0
08/29/2018 10:47:58 AM,38,0
08/29/2018 10:48:17 AM,42,0
08/29/2018 10:48:36 AM,36,0
08/29/2018 10:48:56 AM,43,0
08/29/2018 10:49:15 AM,37,0
08/29/2018 10:49:34 AM,32,0
08/29/2018 10:49:53 AM,31,0
08/29/2018 10:50:12 AM,35,0
08/29/2018 10:50:31 AM,33,0
08/29/2018 10:50:50 AM,21,0
08/29/2018 10:51:09 AM,24,0
08/29/2018 10:51:29 AM,30,0
08/29/2018 10:51:48 AM,17,0
08/29/2018 10:52:07 AM,30,0
08/29/2018 10:52:26 AM,25,0
08/29/2018 10:52:45 AM,22,0
08/29/2018 10:53:04 AM,26,0
08/29/2018 10:53:23 AM,22,0
08/29/2018 10:53:42 AM,28,0
08/29/2018 10:54:02 AM,16,0
08/29/2018 10:54:21 AM,24,0
08/29/2018 10:54:40 AM,31,0
08/29/2018 10:54:59 AM,20,0
08/29/2018 10:55:18 AM,21,0
08/29/2018 10:55:37 AM,16,0
08/29/2018 10:55:56 AM,11,0
08/29/2018 10:56:15 AM,18,0
08/29/2018 10:56:35 AM,13,0
08/29/2018 10:56:54 AM,15,0
08/29/2018 10:57:13 AM,14,0
08/29/2018 10:57:32 AM,24,0
08/29/2018 10:57:51 AM,11,0
08/29/2018 10:58:10 AM,10,0
08/29/2018 10:58:29 AM,10,0
08/29/2018 10:58:48 AM,13,0
08/29/2018 10:59:08 AM,12,0
08/29/2018 10:59:27 AM,10,0
08/29/2018 10:59:46 AM,8,0
08/29/2018 11:00:05 AM,6,0
08/29/2018 11:00:24 AM,6,0
08/29/2018 11:00:43 AM,15,1
08/29/2018 11:01:02 AM,10,0
08/29/2018 11:01:21 AM,9,0
