Device Serial Number: ,102
Device firmware: ,31
Device PM slope: ,0.9223
Device PM offset: ,-178
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:28:32 AM
Mission end date: ,08/29/2018 07:30:25 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1850
Number of logs: ,1850
Maximum 40 sample PM level:,317
Minimum 40 sample PM level:,0
Average active PM concentration:,179
Average PM concentration:,77

Time Stamp, HAPEX 102, compliance
08/29/2018 09:28:32 AM,1,1
08/29/2018 09:28:51 AM,0,1
08/29/2018 09:29:11 AM,8,1
08/29/2018 09:29:30 AM,2,0
08/29/2018 09:29:50 AM,0,0
08/29/2018 09:30:09 AM,0,0
08/29/2018 09:30:29 AM,2,0
08/29/2018 09:30:48 AM,1,0
08/29/2018 09:31:08 AM,4,1
08/29/2018 09:31:27 AM,1,1
08/29/2018 09:31:47 AM,0,1
08/29/2018 09:32:06 AM,2,1
08/29/2018 09:32:26 AM,6,1
08/29/2018 09:32:45 AM,2,0
08/29/2018 09:33:05 AM,3,1
08/29/2018 09:33:24 AM,7,1
08/29/2018 09:33:44 AM,3,1
08/29/2018 09:34:04 AM,2,1
08/29/2018 09:34:23 AM,3,1
08/29/2018 09:34:43 AM,7,0
08/29/2018 09:35:02 AM,5,0
08/29/2018 09:35:22 AM,2,0
08/29/2018 09:35:41 AM,4,0
08/29/2018 09:36:01 AM,0,0
08/29/2018 09:36:20 AM,0,1
08/29/2018 09:36:40 AM,0,0
08/29/2018 09:36:59 AM,3,1
08/29/2018 09:37:19 AM,0,1
08/29/2018 09:37:38 AM,0,0
08/29/2018 09:37:58 AM,2,0
08/29/2018 09:38:17 AM,3,0
08/29/2018 09:38:37 AM,0,0
08/29/2018 09:38:56 AM,0,0
08/29/2018 09:39:16 AM,0,0
08/29/2018 09:39:36 AM,1,0
08/29/2018 09:39:55 AM,0,0
08/29/2018 09:40:15 AM,-1,0
08/29/2018 09:40:34 AM,6,0
08/29/2018 09:40:54 AM,1,1
08/29/2018 09:41:13 AM,0,1
08/29/2018 09:41:33 AM,0,0
08/29/2018 09:41:52 AM,0,0
08/29/2018 09:42:12 AM,-2,0
08/29/2018 09:42:31 AM,9,0
08/29/2018 09:42:51 AM,0,0
08/29/2018 09:43:10 AM,1,0
08/29/2018 09:43:30 AM,0,0
08/29/2018 09:43:49 AM,0,0
08/29/2018 09:44:09 AM,7,0
08/29/2018 09:44:29 AM,-1,0
08/29/2018 09:44:48 AM,0,1
08/29/2018 09:45:08 AM,1,1
08/29/2018 09:45:27 AM,0,1
08/29/2018 09:45:47 AM,1,0
08/29/2018 09:46:06 AM,1,0
