Device Serial Number: ,69
Device firmware: ,2
Device PM slope: ,0.7357
Device PM offset: ,-332
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:20:48 AM
Mission end date: ,08/29/2018 07:18:50 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1706
Maximum 40 sample PM level:,431
Minimum 40 sample PM level:,2
Average active PM concentration:,263
Average PM concentration:,121

Time Stamp, PM, compliance
08/29/2018 09:20:48 AM,-2,1
08/29/2018 09:21:09 AM,9,1
08/29/2018 09:21:30 AM,9,1
08/29/2018 09:21:51 AM,8,1
08/29/2018 09:22:12 AM,8,1
08/29/2018 09:22:33 AM,8,1
08/29/2018 09:22:54 AM,8,1
08/29/2018 09:23:15 AM,7,1
08/29/2018 09:23:36 AM,8,1
08/29/2018 09:23:57 AM,8,1
08/29/2018 09:24:18 AM,7,1
08/29/2018 09:24:39 AM,7,1
08/29/2018 09:25:00 AM,6,1
08/29/2018 09:25:21 AM,6,1
08/29/2018 09:25:42 AM,8,1
08/29/2018 09:26:03 AM,7,1
08/29/2018 09:26:24 AM,7,1
08/29/2018 09:26:45 AM,6,1
08/29/2018 09:27:06 AM,7,1
08/29/2018 09:27:27 AM,7,1
08/29/2018 09:27:48 AM,6,1
08/29/2018 09:28:09 AM,7,0
08/29/2018 09:28:30 AM,7,1
08/29/2018 09:28:52 AM,6,1
08/29/2018 09:29:13 AM,8,1
08/29/2018 09:29:34 AM,6,1
08/29/2018 09:29:55 AM,15,1
08/29/2018 09:30:16 AM,14,1
08/29/2018 09:30:37 AM,15,1
08/29/2018 09:30:58 AM,7,1
08/29/2018 09:31:19 AM,5,1
08/29/2018 09:31:40 AM,8,1
08/29/2018 09:32:01 AM,5,1
08/29/2018 09:32:22 AM,7,1
08/29/2018 09:32:43 AM,5,1
08/29/2018 09:33:04 AM,11,0
08/29/2018 09:33:25 AM,5,1
08/29/2018 09:33:46 AM,28,1
