Device Serial Number: ,71
Device firmware: ,2
Device PM slope: ,1.0475
Device PM offset: ,-214
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:23:22 AM
Mission end date: ,08/29/2018 07:25:43 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1769
Maximum 40 sample PM level:,365
Minimum 40 sample PM level:,3
Average active PM concentration:,222
Average PM concentration:,107

Time Stamp, PM, compliance
08/29/2018 09:23:22 AM,1,1
08/29/2018 09:23:42 AM,6,1
08/29/2018 09:24:02 AM,6,0
08/29/2018 09:24:23 AM,6,1
08/29/2018 09:24:43 AM,7,0
08/29/2018 09:25:04 AM,6,1
08/29/2018 09:25:24 AM,5,1
08/29/2018 09:25:45 AM,5,1
08/29/2018 09:26:05 AM,6,0
08/29/2018 09:26:25 AM,4,0
08/29/2018 09:26:46 AM,6,1
08/29/2018 09:27:06 AM,7,1
08/29/2018 09:27:27 AM,6,1
08/29/2018 09:27:47 AM,5,0
08/29/2018 09:28:08 AM,4,0
08/29/2018 09:28:28 AM,5,1
08/29/2018 09:28:49 AM,6,0
08/29/2018 09:29:09 AM,6,1
08/29/2018 09:29:29 AM,8,1
08/29/2018 09:29:50 AM,8,1
08/29/2018 09:30:10 AM,4,1
08/29/2018 09:30:31 AM,3,1
08/29/2018 09:30:51 AM,6,1
08/29/2018 09:31:12 AM,8,1
08/29/2018 09:31:32 AM,8,1
08/29/2018 09:31:53 AM,8,1
08/29/2018 09:32:13 AM,8,1
08/29/2018 09:32:33 AM,9,1
08/29/2018 09:32:54 AM,8,1
08/29/2018 09:33:14 AM,9,1
08/29/2018 09:33:35 AM,7,1
08/29/2018 09:33:55 AM,6,1
08/29/2018 09:34:16 AM,7,1
08/29/2018 09:34:36 AM,7,0
08/29/2018 09:34:57 AM,7,0
08/29/2018 09:35:17 AM,7,1
08/29/2018 09:35:37 AM,6,1
08/29/2018 09:35:58 AM,5,1
08/29/2018 09:36:18 AM,6,1
08/29/2018 09:36:39 AM,6,1
08/29/2018 09:36:59 AM,7,1
08/29/2018 09:37:20 AM,11,1
08/29/2018 09:37:40 AM,14,1
08/29/2018 09:38:01 AM,5,1
08/29/2018 09:38:21 AM,6,1
08/29/2018 09:38:41 AM,25,1
08/29/2018 09:39:02 AM,7,0
08/29/2018 09:39:22 AM,4,1
08/29/2018 09:39:43 AM,6,0
08/29/2018 09:40:03 AM,5,1
08/29/2018 09:40:24 AM,8,1
08/29/2018 09:40:44 AM,6,1
08/29/2018 09:41:04 AM,5,1
08/29/2018 09:41:25 AM,7,1
08/29/2018 09:41:45 AM,3,1
08/29/2018 09:42:06 AM,5,1
08/29/2018 09:42:26 AM,4,0
08/29/2018 09:42:47 AM,4,1
08/29/2018 09:43:07 AM,4,1
08/29/2018 09:43:28 AM,3,1
08/29/2018 09:43:48 AM,4,1
08/29/2018 09:44:08 AM,4,0
08/29/2018 09:44:29 AM,3,0
08/29/2018 09:44:49 AM,7,1
08/29/2018 09:45:10 AM,2,1
08/29/2018 09:45:30 AM,3,0
08/29/2018 09:45:51 AM,2,0
08/29/2018 09:46:11 AM,3,1
08/29/2018 09:46:32 AM,3,1
08/29/2018 09:46:52 AM,3,1
08/29/2018 09:47:12 AM,2,1
08/29/2018 09:47:33 AM,2,0
08/29/2018 09:47:53 AM,3,1
08/29/2018 09:48:14 AM,2,1
08/29/2018 09:48:34 AM,2,1
08/29/2018 09:48:55 AM,1,1
08/29/2018 09:49:15 AM,6,1
08/29/2018 09:49:36 AM,3,1
08/29/2018 09:49:56 AM,2,1
08/29/2018 09:50:16 AM,1,1
08/29/2018 09:50:37 AM,3,1
08/29/2018 09:50:57 AM,2,1
08/29/2018 09:51:18 AM,1,1
08/29/2018 09:51:38 AM,1,0
08/29/2018 09:51:59 AM,2,1
08/29/2018 09:52:19 AM,3,1
08/29/2018 09:52:40 AM,1,0
08/29/2018 09:53:00 AM,0,1
08/29/2018 09:53:20 AM,1,1
08/29/2018 09:53:41 AM,2,1
08/29/2018 09:54:01 AM,1,1
08/29/2018 09:54:22 AM,3,1
08/29/2018 09:54:42 AM,1,1
08/29/2018 09:55:03 AM,2,1
08/29/2018 09:55:23 AM,1,1
08/29/2018 09:55:43 AM,2,1
08/29/2018 09:56:04 AM,1,1
08/29/2018 09:56:24 AM,0,0
08/29/2018 09:56:45 AM,1,1
08/29/2018 09:57:05 AM,3,1
08/29/2018 09:57:26 AM,7,1
08/29/2018 09:57:46 AM,9,1
08/29/2018 09:58:07 AM,24,1
08/29/2018 09:58:27 AM,36,1
08/29/2018 09:58:47 AM,118,1
08/29/2018 09:59:08 AM,173,1
08/29/2018 09:59:28 AM,164,0
08/29/2018 09:59:49 AM,213,1
08/29/2018 10:00:09 AM,183,1
08/29/2018 10:00:30 AM,184,1
08/29/2018 10:00:50 AM,179,1
08/29/2018 10:01:11 AM,211,1
08/29/2018 10:01:31 AM,253,1
08/29/2018 10:01:51 AM,307,1
08/29/2018 10:02:12 AM,378,1
08/29/2018 10:02:32 AM,435,1
08/29/2018 10:02:53 AM,503,1
08/29/2018 10:03:13 AM,564,1
08/29/2018 10:03:34 AM,452,1
08/29/2018 10:03:54 AM,464,1
08/29/2018 10:04:15 AM,416,1
08/29/2018 10:04:35 AM,411,1
08/29/2018 10:04:55 AM,384,1
08/29/2018 10:05:16 AM,394,1
08/29/2018 10:05:36 AM,363,1
08/29/2018 10:05:57 AM,346,1
08/29/2018 10:06:17 AM,327,1
08/29/2018 10:06:38 AM,302,1
08/29/2018 10:06:58 AM,293,1
08/29/2018 10:07:19 AM,278,1
08/29/2018 10:07:39 AM,339,1
08/29/2018 10:07:59 AM,261,1
08/29/2018 10:08:20 AM,299,1
