Device Serial Number: ,63
Device firmware: ,2
Device PM slope: ,0.8442
Device PM offset: ,-272
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:19:56 AM
Mission end date: ,08/29/2018 07:24:24 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1783
Maximum 40 sample PM level:,1488
Minimum 40 sample PM level:,2
Average active PM concentration:,832
Average PM concentration:,380

Time Stamp, PM, compliance
08/29/2018 09:19:56 AM,-25,1
08/29/2018 09:20:16 AM,5,1
08/29/2018 09:20:36 AM,6,1
08/29/2018 09:20:57 AM,7,1
08/29/2018 09:21:17 AM,7,0
08/29/2018 09:21:37 AM,8,1
08/29/2018 09:21:58 AM,8,1
08/29/2018 09:22:18 AM,6,1
08/29/2018 09:22:38 AM,7,0
08/29/2018 09:22:59 AM,7,0
08/29/2018 09:23:19 AM,10,1
08/29/2018 09:23:39 AM,7,1
08/29/2018 09:24:00 AM,7,1
08/29/2018 09:24:20 AM,6,1
08/29/2018 09:24:40 AM,5,0
08/29/2018 09:25:01 AM,5,0
08/29/2018 09:25:21 AM,5,1
08/29/2018 09:25:41 AM,5,1
08/29/2018 09:26:02 AM,5,1
08/29/2018 09:26:22 AM,14,1
08/29/2018 09:26:43 AM,5,1
08/29/2018 09:27:03 AM,5,1
08/29/2018 09:27:23 AM,5,1
08/29/2018 09:27:44 AM,6,1
08/29/2018 09:28:04 AM,5,1
08/29/2018 09:28:24 AM,5,1
08/29/2018 09:28:45 AM,5,1
08/29/2018 09:29:05 AM,5,1
08/29/2018 09:29:25 AM,5,1
08/29/2018 09:29:46 AM,5,1
08/29/2018 09:30:06 AM,6,1
08/29/2018 09:30:26 AM,6,1
08/29/2018 09:30:47 AM,7,1
08/29/2018 09:31:07 AM,10,1
08/29/2018 09:31:27 AM,7,1
08/29/2018 09:31:48 AM,6,1
08/29/2018 09:32:08 AM,5,1
08/29/2018 09:32:29 AM,5,1
08/29/2018 09:32:49 AM,7,1
08/29/2018 09:33:09 AM,5,1
08/29/2018 09:33:30 AM,6,1
08/29/2018 09:33:50 AM,5,1
08/29/2018 09:34:10 AM,9,1
08/29/2018 09:34:31 AM,5,1
08/29/2018 09:34:51 AM,5,1
08/29/2018 09:35:11 AM,4,1
08/29/2018 09:35:32 AM,5,1
08/29/2018 09:35:52 AM,5,1
08/29/2018 09:36:12 AM,4,0
08/29/2018 09:36:33 AM,9,1
08/29/2018 09:36:53 AM,6,1
08/29/2018 09:37:13 AM,4,1
08/29/2018 09:37:34 AM,3,1
08/29/2018 09:37:54 AM,5,1
08/29/2018 09:38:15 AM,3,1
08/29/2018 09:38:35 AM,6,1
08/29/2018 09:38:55 AM,4,1
08/29/2018 09:39:16 AM,3,0
08/29/2018 09:39:36 AM,7,0
08/29/2018 09:39:56 AM,4,1
08/29/2018 09:40:17 AM,5,1
08/29/2018 09:40:37 AM,3,1
08/29/2018 09:40:57 AM,4,1
08/29/2018 09:41:18 AM,5,1
08/29/2018 09:41:38 AM,3,1
08/29/2018 09:41:58 AM,2,1
08/29/2018 09:42:19 AM,2,1
08/29/2018 09:42:39 AM,2,0
08/29/2018 09:42:59 AM,1,1
08/29/2018 09:43:20 AM,3,1
08/29/2018 09:43:40 AM,2,1
08/29/2018 09:44:00 AM,0,1
08/29/2018 09:44:21 AM,1,1
08/29/2018 09:44:41 AM,2,1
