Device Serial Number: ,60
Device firmware: ,2
Device PM slope: ,0.7478
Device PM offset: ,-322
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:26:22 AM
Mission end date: ,08/29/2018 07:21:18 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1704
Maximum 40 sample PM level:,514
Minimum 40 sample PM level:,0
Average active PM concentration:,312
Average PM concentration:,146

Time Stamp, PM, compliance
08/29/2018 09:26:22 AM,N/A,0
08/29/2018 09:26:42 AM,N/A,0
08/29/2018 09:27:03 AM,N/A,0
08/29/2018 09:27:24 AM,N/A,0
08/29/2018 09:27:45 AM,N/A,0
08/29/2018 09:28:06 AM,N/A,0
08/29/2018 09:28:27 AM,N/A,0
08/29/2018 09:28:48 AM,N/A,0
08/29/2018 09:29:09 AM,N/A,0
08/29/2018 09:29:30 AM,N/A,0
08/29/2018 09:29:51 AM,N/A,0
08/29/2018 09:30:12 AM,N/A,0
08/29/2018 09:30:33 AM,N/A,0
08/29/2018 09:30:54 AM,N/A,0
08/29/2018 09:31:15 AM,N/A,0
08/29/2018 09:31:36 AM,N/A,0
08/29/2018 09:31:57 AM,N/A,0
08/29/2018 09:32:18 AM,N/A,0
08/29/2018 09:32:39 AM,N/A,0
08/29/2018 09:33:00 AM,N/A,0
08/29/2018 09:33:21 AM,N/A,0
08/29/2018 09:33:42 AM,N/A,0
08/29/2018 09:34:03 AM,N/A,0
08/29/2018 09:34:24 AM,N/A,0
08/29/2018 09:34:45 AM,N/A,0
08/29/2018 09:35:06 AM,N/A,0
08/29/2018 09:35:26 AM,N/A,0
08/29/2018 09:35:47 AM,N/A,0
08/29/2018 09:36:08 AM,N/A,0
08/29/2018 09:36:29 AM,N/A,0
08/29/2018 09:36:50 AM,N/A,0
08/29/2018 09:37:11 AM,N/A,0
08/29/2018 09:37:32 AM,N/A,0
08/29/2018 09:37:53 AM,N/A,0
08/29/2018 09:38:14 AM,N/A,0
08/29/2018 09:38:35 AM,N/A,0
08/29/2018 09:38:56 AM,N/A,0
08/29/2018 09:39:17 AM,N/A,0
08/29/2018 09:39:38 AM,N/A,0
08/29/2018 09:39:59 AM,N/A,0
08/29/2018 09:40:20 AM,N/A,0
08/29/2018 09:40:41 AM,N/A,0
08/29/2018 09:41:02 AM,N/A,0
08/29/2018 09:41:23 AM,N/A,0
08/29/2018 09:41:44 AM,N/A,0
08/29/2018 09:42:05 AM,N/A,0
08/29/2018 09:42:26 AM,N/A,0
08/29/2018 09:42:47 AM,N/A,0
08/29/2018 09:43:08 AM,N/A,0
08/29/2018 09:43:29 AM,N/A,0
08/29/2018 09:43:50 AM,N/A,0
08/29/2018 09:44:11 AM,N/A,0
08/29/2018 09:44:31 AM,N/A,0
08/29/2018 09:44:52 AM,N/A,0
08/29/2018 09:45:13 AM,N/A,0
08/29/2018 09:45:34 AM,N/A,0
08/29/2018 09:45:55 AM,N/A,0
08/29/2018 09:46:16 AM,N/A,0
08/29/2018 09:46:37 AM,N/A,0
08/29/2018 09:46:58 AM,N/A,0
08/29/2018 09:47:19 AM,N/A,0
08/29/2018 09:47:40 AM,N/A,0
08/29/2018 09:48:01 AM,N/A,0
08/29/2018 09:48:22 AM,N/A,0
08/29/2018 09:48:43 AM,-1,0
08/29/2018 09:49:04 AM,-1,0
08/29/2018 09:49:25 AM,0,1
08/29/2018 09:49:46 AM,-1,1
08/29/2018 09:50:07 AM,-2,0
08/29/2018 09:50:28 AM,-1,1
08/29/2018 09:50:49 AM,-1,0
08/29/2018 09:51:10 AM,-2,0
08/29/2018 09:51:31 AM,-1,0
08/29/2018 09:51:52 AM,-2,0
08/29/2018 09:52:13 AM,-2,0
08/29/2018 09:52:34 AM,0,1
08/29/2018 09:52:55 AM,-2,0
08/29/2018 09:53:15 AM,-2,1
08/29/2018 09:53:36 AM,-2,1
08/29/2018 09:53:57 AM,-2,0
08/29/2018 09:54:18 AM,-1,0
08/29/2018 09:54:39 AM,-1,0
08/29/2018 09:55:00 AM,-2,1
08/29/2018 09:55:21 AM,0,1
08/29/2018 09:55:42 AM,-2,1
08/29/2018 09:56:03 AM,8,0
08/29/2018 09:56:24 AM,-1,0
08/29/2018 09:56:45 AM,0,0
08/29/2018 09:57:06 AM,0,0
08/29/2018 09:57:27 AM,2,0
08/29/2018 09:57:48 AM,6,1
08/29/2018 09:58:09 AM,12,1
08/29/2018 09:58:30 AM,54,1
08/29/2018 09:58:51 AM,91,1
08/29/2018 09:59:12 AM,144,0
08/29/2018 09:59:33 AM,213,0
08/29/2018 09:59:54 AM,219,0
08/29/2018 10:00:15 AM,204,0
08/29/2018 10:00:36 AM,198,1
08/29/2018 10:00:57 AM,219,1
08/29/2018 10:01:18 AM,285,0
08/29/2018 10:01:39 AM,739,1
08/29/2018 10:02:00 AM,373,0
08/29/2018 10:02:20 AM,989,0
08/29/2018 10:02:41 AM,525,1
08/29/2018 10:03:02 AM,791,1
08/29/2018 10:03:23 AM,545,1
08/29/2018 10:03:44 AM,460,1
08/29/2018 10:04:05 AM,515,0
08/29/2018 10:04:26 AM,463,0
08/29/2018 10:04:47 AM,441,1
08/29/2018 10:05:08 AM,535,1
08/29/2018 10:05:29 AM,400,1
08/29/2018 10:05:50 AM,409,0
08/29/2018 10:06:11 AM,489,1
08/29/2018 10:06:32 AM,406,0
