Device Serial Number: ,65
Device firmware: ,2
Device PM slope: ,0.8017
Device PM offset: ,-288
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:25:22 AM
Mission end date: ,08/29/2018 07:22:31 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1762
Maximum 40 sample PM level:,1473
Minimum 40 sample PM level:,-10
Average active PM concentration:,902
Average PM concentration:,368

Time Stamp, PM, compliance
08/29/2018 09:25:22 AM,-24,1
08/29/2018 09:25:42 AM,-15,1
08/29/2018 09:26:02 AM,-12,1
08/29/2018 09:26:23 AM,-12,1
08/29/2018 09:26:43 AM,-12,1
08/29/2018 09:27:03 AM,-12,1
08/29/2018 09:27:24 AM,-17,1
08/29/2018 09:27:44 AM,-16,1
08/29/2018 09:28:04 AM,-16,0
08/29/2018 09:28:25 AM,-15,1
08/29/2018 09:28:45 AM,-15,0
08/29/2018 09:29:05 AM,-12,1
08/29/2018 09:29:26 AM,-15,1
08/29/2018 09:29:46 AM,-14,1
08/29/2018 09:30:06 AM,-15,1
08/29/2018 09:30:27 AM,-15,0
08/29/2018 09:30:47 AM,-15,1
08/29/2018 09:31:07 AM,-16,1
08/29/2018 09:31:28 AM,-15,1
08/29/2018 09:31:48 AM,-16,1
08/29/2018 09:32:08 AM,-15,1
08/29/2018 09:32:29 AM,-15,1
08/29/2018 09:32:49 AM,-13,1
08/29/2018 09:33:09 AM,-15,1
08/29/2018 09:33:30 AM,-15,1
08/29/2018 09:33:50 AM,-16,1
08/29/2018 09:34:10 AM,-15,1
08/29/2018 09:34:31 AM,-16,1
08/29/2018 09:34:51 AM,-12,1
08/29/2018 09:35:12 AM,-16,1
08/29/2018 09:35:32 AM,-16,1
08/29/2018 09:35:52 AM,-17,1
08/29/2018 09:36:13 AM,-16,1
08/29/2018 09:36:33 AM,-15,1
08/29/2018 09:36:53 AM,-16,1
08/29/2018 09:37:14 AM,-17,1
08/29/2018 09:37:34 AM,-17,1
08/29/2018 09:37:54 AM,-15,1
08/29/2018 09:38:15 AM,-16,1
08/29/2018 09:38:35 AM,-18,1
08/29/2018 09:38:55 AM,-18,0
08/29/2018 09:39:16 AM,-18,0
08/29/2018 09:39:36 AM,-14,0
08/29/2018 09:39:56 AM,-16,0
08/29/2018 09:40:17 AM,-17,1
08/29/2018 09:40:37 AM,-16,1
08/29/2018 09:40:57 AM,-18,1
08/29/2018 09:41:18 AM,-17,1
08/29/2018 09:41:38 AM,-16,1
08/29/2018 09:41:58 AM,-17,0
08/29/2018 09:42:19 AM,-16,1
08/29/2018 09:42:39 AM,-15,1
08/29/2018 09:42:59 AM,-19,1
08/29/2018 09:43:20 AM,-17,1
08/29/2018 09:43:40 AM,-18,1
08/29/2018 09:44:01 AM,-19,1
08/29/2018 09:44:21 AM,-19,1
08/29/2018 09:44:41 AM,-18,1
08/29/2018 09:45:02 AM,-20,1
08/29/2018 09:45:22 AM,-20,1
08/29/2018 09:45:42 AM,-11,1
08/29/2018 09:46:03 AM,-20,1
08/29/2018 09:46:23 AM,-19,1
08/29/2018 09:46:43 AM,-20,1
08/29/2018 09:47:04 AM,-17,1
08/29/2018 09:47:24 AM,-14,0
08/29/2018 09:47:44 AM,-17,1
08/29/2018 09:48:05 AM,-16,1
08/29/2018 09:48:25 AM,-20,1
08/29/2018 09:48:45 AM,-7,0
08/29/2018 09:49:06 AM,-12,1
08/29/2018 09:49:26 AM,-20,1
08/29/2018 09:49:46 AM,-20,1
08/29/2018 09:50:07 AM,-20,1
08/29/2018 09:50:27 AM,-20,1
08/29/2018 09:50:47 AM,-21,1
