Device Serial Number: ,77
Device firmware: ,2
Device PM slope: ,0.8158
Device PM offset: ,-312
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:19:29 AM
Mission end date: ,08/29/2018 07:26:46 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1812
Maximum 40 sample PM level:,1374
Minimum 40 sample PM level:,-35
Average active PM concentration:,782
Average PM concentration:,337

Time Stamp, PM, compliance
08/29/2018 09:19:29 AM,-35,1
08/29/2018 09:19:49 AM,-25,1
08/29/2018 09:20:09 AM,-24,0
08/29/2018 09:20:29 AM,-25,0
08/29/2018 09:20:49 AM,-24,1
08/29/2018 09:21:09 AM,-23,0
08/29/2018 09:21:29 AM,-24,1
08/29/2018 09:21:49 AM,-23,1
08/29/2018 09:22:09 AM,-25,1
08/29/2018 09:22:30 AM,-25,1
08/29/2018 09:22:50 AM,-25,1
08/29/2018 09:23:10 AM,-23,1
08/29/2018 09:23:30 AM,-24,1
08/29/2018 09:23:50 AM,-23,1
08/29/2018 09:24:10 AM,-24,1
08/29/2018 09:24:30 AM,-24,1
08/29/2018 09:24:50 AM,-24,0
08/29/2018 09:25:11 AM,-23,0
08/29/2018 09:25:31 AM,-23,0
08/29/2018 09:25:51 AM,-25,0
08/29/2018 09:26:11 AM,-24,1
08/29/2018 09:26:31 AM,-24,1
08/29/2018 09:26:51 AM,-24,0
08/29/2018 09:27:11 AM,-25,0
08/29/2018 09:27:31 AM,-24,0
08/29/2018 09:27:52 AM,-22,0
08/29/2018 09:28:12 AM,-24,0
08/29/2018 09:28:32 AM,-22,0
08/29/2018 09:28:52 AM,-24,1
08/29/2018 09:29:12 AM,-8,1
08/29/2018 09:29:32 AM,-23,1
08/29/2018 09:29:52 AM,-25,1
08/29/2018 09:30:12 AM,-23,1
08/29/2018 09:30:32 AM,-23,1
08/29/2018 09:30:53 AM,-23,1
08/29/2018 09:31:13 AM,-24,1
08/29/2018 09:31:33 AM,-28,1
08/29/2018 09:31:53 AM,-30,1
08/29/2018 09:32:13 AM,-31,0
08/29/2018 09:32:33 AM,-31,0
08/29/2018 09:32:53 AM,-31,1
08/29/2018 09:33:13 AM,-31,1
08/29/2018 09:33:34 AM,-32,1
08/29/2018 09:33:54 AM,-32,0
08/29/2018 09:34:14 AM,-31,1
08/29/2018 09:34:34 AM,-31,1
08/29/2018 09:34:54 AM,-31,1
08/29/2018 09:35:14 AM,-33,1
08/29/2018 09:35:34 AM,-29,1
08/29/2018 09:35:54 AM,-32,1
08/29/2018 09:36:15 AM,-32,1
08/29/2018 09:36:35 AM,-31,1
08/29/2018 09:36:55 AM,-32,1
08/29/2018 09:37:15 AM,-33,1
08/29/2018 09:37:35 AM,-34,1
08/29/2018 09:37:55 AM,-33,1
08/29/2018 09:38:15 AM,-33,0
08/29/2018 09:38:35 AM,-30,1
08/29/2018 09:38:55 AM,-35,1
08/29/2018 09:39:16 AM,-31,0
08/29/2018 09:39:36 AM,-32,0
08/29/2018 09:39:56 AM,-34,1
08/29/2018 09:40:16 AM,-34,0
08/29/2018 09:40:36 AM,-34,0
08/29/2018 09:40:56 AM,-34,0
08/29/2018 09:41:16 AM,-35,1
08/29/2018 09:41:36 AM,-33,0
08/29/2018 09:41:57 AM,-35,1
08/29/2018 09:42:17 AM,-34,1
08/29/2018 09:42:37 AM,-34,1
08/29/2018 09:42:57 AM,-35,1
08/29/2018 09:43:17 AM,-35,0
08/29/2018 09:43:37 AM,-35,0
08/29/2018 09:43:57 AM,-35,1
08/29/2018 09:44:17 AM,-35,1
08/29/2018 09:44:38 AM,-35,1
08/29/2018 09:44:58 AM,-35,1
08/29/2018 09:45:18 AM,-35,1
08/29/2018 09:45:38 AM,-34,1
08/29/2018 09:45:58 AM,-35,1
08/29/2018 09:46:18 AM,-35,1
08/29/2018 09:46:38 AM,-33,1
08/29/2018 09:46:58 AM,-35,1
08/29/2018 09:47:18 AM,-34,1
08/29/2018 09:47:39 AM,-35,1
08/29/2018 09:47:59 AM,-35,1
08/29/2018 09:48:19 AM,-36,1
08/29/2018 09:48:39 AM,-35,0
08/29/2018 09:48:59 AM,-34,1
08/29/2018 09:49:19 AM,-36,0
08/29/2018 09:49:39 AM,-35,1
08/29/2018 09:49:59 AM,-35,1
08/29/2018 09:50:20 AM,-35,1
08/29/2018 09:50:40 AM,-35,1
08/29/2018 09:51:00 AM,-35,0
08/29/2018 09:51:20 AM,-35,0
08/29/2018 09:51:40 AM,-35,1
08/29/2018 09:52:00 AM,-36,1
08/29/2018 09:52:20 AM,-36,1
08/29/2018 09:52:40 AM,-35,0
08/29/2018 09:53:01 AM,-36,1
08/29/2018 09:53:21 AM,-36,1
08/29/2018 09:53:41 AM,-34,0
08/29/2018 09:54:01 AM,-36,1
08/29/2018 09:54:21 AM,-36,1
08/29/2018 09:54:41 AM,-36,1
08/29/2018 09:55:01 AM,-36,1
08/29/2018 09:55:21 AM,-36,1
08/29/2018 09:55:41 AM,-36,1
08/29/2018 09:56:02 AM,-35,1
08/29/2018 09:56:22 AM,-35,1
08/29/2018 09:56:42 AM,-34,1
08/29/2018 09:57:02 AM,-17,1
08/29/2018 09:57:22 AM,-2,0
08/29/2018 09:57:42 AM,88,1
08/29/2018 09:58:02 AM,45,0
08/29/2018 09:58:22 AM,1508,1
08/29/2018 09:58:43 AM,774,1
08/29/2018 09:59:03 AM,778,1
08/29/2018 09:59:23 AM,475,0
08/29/2018 09:59:43 AM,377,1
08/29/2018 10:00:03 AM,409,1
08/29/2018 10:00:23 AM,494,1
08/29/2018 10:00:43 AM,1413,1
08/29/2018 10:01:03 AM,2573,0
08/29/2018 10:01:24 AM,2035,1
08/29/2018 10:01:44 AM,2585,1
08/29/2018 10:02:04 AM,2772,0
08/29/2018 10:02:24 AM,2238,0
08/29/2018 10:02:44 AM,1708,0
08/29/2018 10:03:04 AM,1319,1
08/29/2018 10:03:24 AM,1166,1
08/29/2018 10:03:44 AM,1016,1
