Device Serial Number: ,62
Device firmware: ,2
Device PM slope: ,0.7784
Device PM offset: ,-485
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:22:57 AM
Mission end date: ,08/29/2018 07:29:40 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1795
Maximum 40 sample PM level:,332
Minimum 40 sample PM level:,2
Average active PM concentration:,202
Average PM concentration:,100

Time Stamp, PM, compliance
08/29/2018 09:22:57 AM,-10,1
08/29/2018 09:23:17 AM,7,1
08/29/2018 09:23:37 AM,9,1
08/29/2018 09:23:57 AM,10,0
08/29/2018 09:24:18 AM,7,1
08/29/2018 09:24:38 AM,6,1
08/29/2018 09:24:58 AM,9,1
08/29/2018 09:25:19 AM,7,1
08/29/2018 09:25:39 AM,7,0
08/29/2018 09:25:59 AM,9,0
08/29/2018 09:26:19 AM,6,0
08/29/2018 09:26:40 AM,7,0
08/29/2018 09:27:00 AM,5,0
08/29/2018 09:27:20 AM,7,0
08/29/2018 09:27:41 AM,6,0
08/29/2018 09:28:01 AM,4,0
08/29/2018 09:28:21 AM,8,1
08/29/2018 09:28:41 AM,7,1
08/29/2018 09:29:02 AM,5,0
08/29/2018 09:29:22 AM,7,1
08/29/2018 09:29:42 AM,7,1
08/29/2018 09:30:03 AM,6,1
08/29/2018 09:30:23 AM,8,0
08/29/2018 09:30:43 AM,10,0
08/29/2018 09:31:04 AM,9,1
08/29/2018 09:31:24 AM,10,1
08/29/2018 09:31:44 AM,10,1
08/29/2018 09:32:04 AM,10,1
08/29/2018 09:32:25 AM,7,1
08/29/2018 09:32:45 AM,7,1
08/29/2018 09:33:05 AM,11,0
08/29/2018 09:33:26 AM,6,1
08/29/2018 09:33:46 AM,7,1
08/29/2018 09:34:06 AM,7,0
08/29/2018 09:34:26 AM,6,0
08/29/2018 09:34:47 AM,10,0
08/29/2018 09:35:07 AM,7,1
08/29/2018 09:35:27 AM,11,1
08/29/2018 09:35:48 AM,7,1
08/29/2018 09:36:08 AM,7,1
08/29/2018 09:36:28 AM,4,1
08/29/2018 09:36:48 AM,6,1
08/29/2018 09:37:09 AM,7,1
08/29/2018 09:37:29 AM,5,1
08/29/2018 09:37:49 AM,7,1
08/29/2018 09:38:10 AM,4,1
08/29/2018 09:38:30 AM,6,0
08/29/2018 09:38:50 AM,7,1
08/29/2018 09:39:11 AM,8,1
08/29/2018 09:39:31 AM,4,0
08/29/2018 09:39:51 AM,7,0
08/29/2018 09:40:11 AM,3,1
08/29/2018 09:40:32 AM,7,1
08/29/2018 09:40:52 AM,5,1
08/29/2018 09:41:12 AM,3,0
08/29/2018 09:41:33 AM,3,0
