Device Serial Number: ,80
Device firmware: ,2
Device PM slope: ,0.9476
Device PM offset: ,-273
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:25:38 AM
Mission end date: ,08/29/2018 07:24:50 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1704
Maximum 40 sample PM level:,365
Minimum 40 sample PM level:,2
Average active PM concentration:,219
Average PM concentration:,102

Time Stamp, PM, compliance
08/29/2018 09:25:38 AM,-5,1
08/29/2018 09:25:59 AM,5,1
08/29/2018 09:26:20 AM,9,1
08/29/2018 09:26:41 AM,5,1
08/29/2018 09:27:02 AM,15,1
08/29/2018 09:27:23 AM,4,1
08/29/2018 09:27:44 AM,4,1
08/29/2018 09:28:05 AM,6,1
08/29/2018 09:28:26 AM,6,1
08/29/2018 09:28:47 AM,7,1
08/29/2018 09:29:09 AM,9,1
08/29/2018 09:29:30 AM,6,1
08/29/2018 09:29:51 AM,6,0
08/29/2018 09:30:12 AM,5,0
08/29/2018 09:30:33 AM,5,0
08/29/2018 09:30:54 AM,6,1
08/29/2018 09:31:15 AM,5,1
08/29/2018 09:31:36 AM,4,1
08/29/2018 09:31:57 AM,5,1
08/29/2018 09:32:19 AM,9,1
08/29/2018 09:32:40 AM,8,1
08/29/2018 09:33:01 AM,7,1
08/29/2018 09:33:22 AM,6,1
08/29/2018 09:33:43 AM,6,1
08/29/2018 09:34:04 AM,10,1
08/29/2018 09:34:25 AM,6,1
08/29/2018 09:34:46 AM,9,1
08/29/2018 09:35:07 AM,6,1
08/29/2018 09:35:29 AM,38,1
08/29/2018 09:35:50 AM,9,1
08/29/2018 09:36:11 AM,6,1
08/29/2018 09:36:32 AM,6,1
08/29/2018 09:36:53 AM,4,1
08/29/2018 09:37:14 AM,5,1
08/29/2018 09:37:35 AM,5,1
08/29/2018 09:37:56 AM,4,1
08/29/2018 09:38:17 AM,2,1
08/29/2018 09:38:39 AM,6,1
08/29/2018 09:39:00 AM,4,1
08/29/2018 09:39:21 AM,5,1
08/29/2018 09:39:42 AM,2,1
08/29/2018 09:40:03 AM,6,1
08/29/2018 09:40:24 AM,4,0
08/29/2018 09:40:45 AM,2,0
08/29/2018 09:41:06 AM,2,1
08/29/2018 09:41:27 AM,2,1
08/29/2018 09:41:49 AM,4,0
08/29/2018 09:42:10 AM,1,1
08/29/2018 09:42:31 AM,39,1
08/29/2018 09:42:52 AM,1,1
08/29/2018 09:43:13 AM,0,1
08/29/2018 09:43:34 AM,0,1
08/29/2018 09:43:55 AM,0,0
08/29/2018 09:44:16 AM,1,1
08/29/2018 09:44:37 AM,0,1
08/29/2018 09:44:59 AM,1,0
08/29/2018 09:45:20 AM,1,1
08/29/2018 09:45:41 AM,0,1
08/29/2018 09:46:02 AM,0,1
08/29/2018 09:46:23 AM,0,1
08/29/2018 09:46:44 AM,0,1
08/29/2018 09:47:05 AM,0,1
08/29/2018 09:47:26 AM,0,1
08/29/2018 09:47:47 AM,0,1
08/29/2018 09:48:09 AM,0,0
08/29/2018 09:48:30 AM,0,0
08/29/2018 09:48:51 AM,0,0
08/29/2018 09:49:12 AM,0,1
08/29/2018 09:49:33 AM,0,1
08/29/2018 09:49:54 AM,0,0
08/29/2018 09:50:15 AM,0,1
08/29/2018 09:50:36 AM,0,1
08/29/2018 09:50:57 AM,0,0
08/29/2018 09:51:19 AM,0,1
08/29/2018 09:51:40 AM,0,1
08/29/2018 09:52:01 AM,0,1
08/29/2018 09:52:22 AM,0,1
08/29/2018 09:52:43 AM,0,1
08/29/2018 09:53:04 AM,0,0
08/29/2018 09:53:25 AM,-1,1
08/29/2018 09:53:46 AM,0,0
08/29/2018 09:54:07 AM,0,0
08/29/2018 09:54:29 AM,0,1
08/29/2018 09:54:50 AM,0,0
08/29/2018 09:55:11 AM,1,1
08/29/2018 09:55:32 AM,0,1
08/29/2018 09:55:53 AM,0,1
08/29/2018 09:56:14 AM,0,1
08/29/2018 09:56:35 AM,0,1
08/29/2018 09:56:56 AM,1,0
08/29/2018 09:57:17 AM,5,1
08/29/2018 09:57:39 AM,7,1
08/29/2018 09:58:00 AM,14,1
08/29/2018 09:58:21 AM,29,1
08/29/2018 09:58:42 AM,132,1
08/29/2018 09:59:03 AM,176,1
08/29/2018 09:59:24 AM,203,1
08/29/2018 09:59:45 AM,215,1
08/29/2018 10:00:06 AM,220,1
08/29/2018 10:00:27 AM,205,1
08/29/2018 10:00:49 AM,238,1
08/29/2018 10:01:10 AM,218,1
08/29/2018 10:01:31 AM,260,1
08/29/2018 10:01:52 AM,324,1
08/29/2018 10:02:13 AM,375,1
08/29/2018 10:02:34 AM,524,1
08/29/2018 10:02:55 AM,552,0
08/29/2018 10:03:16 AM,560,1
08/29/2018 10:03:37 AM,534,1
08/29/2018 10:03:59 AM,501,1
08/29/2018 10:04:20 AM,438,1
08/29/2018 10:04:41 AM,403,1
08/29/2018 10:05:02 AM,425,1
08/29/2018 10:05:23 AM,399,1
08/29/2018 10:05:44 AM,353,1
08/29/2018 10:06:05 AM,339,0
08/29/2018 10:06:26 AM,373,1
08/29/2018 10:06:47 AM,327,1
08/29/2018 10:07:09 AM,301,1
08/29/2018 10:07:30 AM,289,1
08/29/2018 10:07:51 AM,298,1
08/29/2018 10:08:12 AM,306,1
08/29/2018 10:08:33 AM,280,1
