Device Serial Number: ,86
Device firmware: ,2
Device PM slope: ,0.87
Device PM offset: ,-314
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:20:22 AM
Mission end date: ,08/29/2018 07:29:48 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1731
Maximum 40 sample PM level:,1311
Minimum 40 sample PM level:,5
Average active PM concentration:,711
Average PM concentration:,312

Time Stamp, PM, compliance
08/29/2018 09:20:22 AM,-2,1
08/29/2018 09:20:43 AM,57,1
08/29/2018 09:21:04 AM,53,1
08/29/2018 09:21:25 AM,54,1
08/29/2018 09:21:46 AM,53,1
08/29/2018 09:22:07 AM,52,1
08/29/2018 09:22:28 AM,52,1
08/29/2018 09:22:49 AM,46,1
08/29/2018 09:23:11 AM,47,0
08/29/2018 09:23:32 AM,53,0
08/29/2018 09:23:53 AM,50,1
08/29/2018 09:24:14 AM,53,1
08/29/2018 09:24:35 AM,52,1
08/29/2018 09:24:56 AM,52,0
08/29/2018 09:25:17 AM,53,0
08/29/2018 09:25:39 AM,51,0
08/29/2018 09:26:00 AM,48,0
08/29/2018 09:26:21 AM,51,0
08/29/2018 09:26:42 AM,52,0
08/29/2018 09:27:03 AM,47,1
08/29/2018 09:27:24 AM,51,1
08/29/2018 09:27:45 AM,53,1
08/29/2018 09:28:06 AM,51,0
08/29/2018 09:28:28 AM,51,1
08/29/2018 09:28:49 AM,50,1
08/29/2018 09:29:10 AM,51,0
08/29/2018 09:29:31 AM,50,1
08/29/2018 09:29:52 AM,51,1
08/29/2018 09:30:13 AM,44,1
08/29/2018 09:30:34 AM,47,0
08/29/2018 09:30:56 AM,45,1
08/29/2018 09:31:17 AM,48,1
08/29/2018 09:31:38 AM,50,1
08/29/2018 09:31:59 AM,54,1
08/29/2018 09:32:20 AM,50,1
08/29/2018 09:32:41 AM,46,1
08/29/2018 09:33:02 AM,6,1
08/29/2018 09:33:24 AM,8,0
08/29/2018 09:33:45 AM,20,0
08/29/2018 09:34:06 AM,9,1
08/29/2018 09:34:27 AM,7,1
08/29/2018 09:34:48 AM,7,1
08/29/2018 09:35:09 AM,7,1
08/29/2018 09:35:30 AM,9,0
08/29/2018 09:35:51 AM,6,1
08/29/2018 09:36:13 AM,5,1
08/29/2018 09:36:34 AM,11,1
08/29/2018 09:36:55 AM,6,1
08/29/2018 09:37:16 AM,7,1
08/29/2018 09:37:37 AM,7,1
08/29/2018 09:37:58 AM,5,0
08/29/2018 09:38:19 AM,4,0
08/29/2018 09:38:41 AM,6,1
08/29/2018 09:39:02 AM,4,1
08/29/2018 09:39:23 AM,4,0
08/29/2018 09:39:44 AM,7,1
08/29/2018 09:40:05 AM,6,1
08/29/2018 09:40:26 AM,5,1
08/29/2018 09:40:47 AM,4,1
08/29/2018 09:41:09 AM,8,0
08/29/2018 09:41:30 AM,5,1
08/29/2018 09:41:51 AM,6,0
08/29/2018 09:42:12 AM,3,0
08/29/2018 09:42:33 AM,2,0
