Device Serial Number: ,110
Device firmware: ,31
Device PM slope: ,0.9159
Device PM offset: ,-130
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:28:09 AM
Mission end date: ,08/29/2018 07:30:54 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1934
Number of logs: ,1934
Maximum 40 sample PM level:,325
Minimum 40 sample PM level:,1
Average active PM concentration:,209
Average PM concentration:,90

Time Stamp, HAPEX 110, compliance
08/29/2018 09:28:09 AM,1,1
08/29/2018 09:28:27 AM,0,1
08/29/2018 09:28:46 AM,0,1
08/29/2018 09:29:05 AM,2,1
08/29/2018 09:29:23 AM,2,1
08/29/2018 09:29:42 AM,0,0
08/29/2018 09:30:01 AM,2,1
08/29/2018 09:30:19 AM,3,0
08/29/2018 09:30:38 AM,0,0
08/29/2018 09:30:57 AM,0,1
08/29/2018 09:31:16 AM,1,1
08/29/2018 09:31:34 AM,0,1
08/29/2018 09:31:53 AM,3,1
08/29/2018 09:32:12 AM,0,1
08/29/2018 09:32:30 AM,5,1
08/29/2018 09:32:49 AM,5,1
08/29/2018 09:33:08 AM,2,1
08/29/2018 09:33:27 AM,2,1
08/29/2018 09:33:45 AM,5,1
08/29/2018 09:34:04 AM,6,1
08/29/2018 09:34:23 AM,2,1
08/29/2018 09:34:41 AM,1,1
08/29/2018 09:35:00 AM,1,1
08/29/2018 09:35:19 AM,1,1
08/29/2018 09:35:38 AM,2,1
08/29/2018 09:35:56 AM,0,1
08/29/2018 09:36:15 AM,6,0
08/29/2018 09:36:34 AM,4,1
08/29/2018 09:36:52 AM,8,1
08/29/2018 09:37:11 AM,2,1
08/29/2018 09:37:30 AM,0,1
08/29/2018 09:37:48 AM,2,0
08/29/2018 09:38:07 AM,7,0
08/29/2018 09:38:26 AM,0,0
08/29/2018 09:38:45 AM,1,0
08/29/2018 09:39:03 AM,3,0
08/29/2018 09:39:22 AM,4,0
08/29/2018 09:39:41 AM,1,0
08/29/2018 09:39:59 AM,3,0
08/29/2018 09:40:18 AM,0,0
08/29/2018 09:40:37 AM,1,0
08/29/2018 09:40:56 AM,0,0
08/29/2018 09:41:14 AM,0,0
08/29/2018 09:41:33 AM,4,0
08/29/2018 09:41:52 AM,0,0
08/29/2018 09:42:10 AM,3,0
08/29/2018 09:42:29 AM,1,0
08/29/2018 09:42:48 AM,3,0
08/29/2018 09:43:07 AM,3,0
08/29/2018 09:43:25 AM,1,0
08/29/2018 09:43:44 AM,2,0
08/29/2018 09:44:03 AM,-2,0
08/29/2018 09:44:21 AM,1,0
08/29/2018 09:44:40 AM,0,0
08/29/2018 09:44:59 AM,0,0
08/29/2018 09:45:17 AM,0,0
08/29/2018 09:45:36 AM,1,0
08/29/2018 09:45:55 AM,1,0
08/29/2018 09:46:14 AM,0,0
08/29/2018 09:46:32 AM,0,0
08/29/2018 09:46:51 AM,3,0
08/29/2018 09:47:10 AM,0,0
08/29/2018 09:47:28 AM,11,0
08/29/2018 09:47:47 AM,2,0
08/29/2018 09:48:06 AM,0,0
08/29/2018 09:48:25 AM,0,0
08/29/2018 09:48:43 AM,-1,0
08/29/2018 09:49:02 AM,-3,0
08/29/2018 09:49:21 AM,0,0
08/29/2018 09:49:39 AM,2,0
08/29/2018 09:49:58 AM,1,0
08/29/2018 09:50:17 AM,0,0
08/29/2018 09:50:36 AM,5,0
08/29/2018 09:50:54 AM,2,0
08/29/2018 09:51:13 AM,1,0
08/29/2018 09:51:32 AM,2,0
08/29/2018 09:51:50 AM,0,1
08/29/2018 09:52:09 AM,2,0
08/29/2018 09:52:28 AM,0,0
08/29/2018 09:52:47 AM,-2,0
08/29/2018 09:53:05 AM,1,0
08/29/2018 09:53:24 AM,0,0
08/29/2018 09:53:43 AM,0,0
08/29/2018 09:54:01 AM,0,0
08/29/2018 09:54:20 AM,0,0
08/29/2018 09:54:39 AM,0,0
08/29/2018 09:54:57 AM,10,0
08/29/2018 09:55:16 AM,1,0
08/29/2018 09:55:35 AM,0,0
08/29/2018 09:55:54 AM,3,0
08/29/2018 09:56:12 AM,1,0
08/29/2018 09:56:31 AM,3,0
08/29/2018 09:56:50 AM,0,0
08/29/2018 09:57:08 AM,16,0
08/29/2018 09:57:27 AM,2,0
08/29/2018 09:57:46 AM,5,0
08/29/2018 09:58:05 AM,28,0
08/29/2018 09:58:23 AM,630,0
08/29/2018 09:58:42 AM,196,0
08/29/2018 09:59:01 AM,160,0
08/29/2018 09:59:19 AM,182,0
08/29/2018 09:59:38 AM,166,0
08/29/2018 09:59:57 AM,192,0
08/29/2018 10:00:16 AM,200,0
08/29/2018 10:00:34 AM,185,0
08/29/2018 10:00:53 AM,454,0
08/29/2018 10:01:12 AM,315,0
08/29/2018 10:01:30 AM,306,0
08/29/2018 10:01:49 AM,293,0
08/29/2018 10:02:08 AM,315,0
08/29/2018 10:02:26 AM,400,0
08/29/2018 10:02:45 AM,407,0
08/29/2018 10:03:04 AM,425,0
08/29/2018 10:03:23 AM,491,0
08/29/2018 10:03:41 AM,500,0
08/29/2018 10:04:00 AM,445,0
08/29/2018 10:04:19 AM,465,0
08/29/2018 10:04:37 AM,400,0
08/29/2018 10:04:56 AM,378,0
08/29/2018 10:05:15 AM,380,0
08/29/2018 10:05:34 AM,376,0
08/29/2018 10:05:52 AM,361,0
08/29/2018 10:06:11 AM,329,0
08/29/2018 10:06:30 AM,330,0
08/29/2018 10:06:48 AM,294,0
08/29/2018 10:07:07 AM,311,0
08/29/2018 10:07:26 AM,282,0
08/29/2018 10:07:45 AM,295,0
08/29/2018 10:08:03 AM,272,0
08/29/2018 10:08:22 AM,260,0
08/29/2018 10:08:41 AM,366,0
08/29/2018 10:08:59 AM,250,0
08/29/2018 10:09:18 AM,286,0
08/29/2018 10:09:37 AM,257,0
08/29/2018 10:09:56 AM,257,0
08/29/2018 10:10:14 AM,261,1
08/29/2018 10:10:33 AM,267,0
08/29/2018 10:10:52 AM,261,0
08/29/2018 10:11:10 AM,273,0
08/29/2018 10:11:29 AM,302,0
08/29/2018 10:11:48 AM,278,0
08/29/2018 10:12:06 AM,254,0
08/29/2018 10:12:25 AM,229,0
08/29/2018 10:12:44 AM,294,0
08/29/2018 10:13:03 AM,246,0
08/29/2018 10:13:21 AM,272,0
08/29/2018 10:13:40 AM,228,1
08/29/2018 10:13:59 AM,226,1
08/29/2018 10:14:17 AM,232,0
08/29/2018 10:14:36 AM,256,0
08/29/2018 10:14:55 AM,245,0
08/29/2018 10:15:14 AM,260,0
08/29/2018 10:15:32 AM,256,0
08/29/2018 10:15:51 AM,269,0
08/29/2018 10:16:10 AM,281,0
08/29/2018 10:16:28 AM,261,0
08/29/2018 10:16:47 AM,252,1
08/29/2018 10:17:06 AM,247,0
08/29/2018 10:17:25 AM,219,1
08/29/2018 10:17:43 AM,208,0
08/29/2018 10:18:02 AM,213,0
08/29/2018 10:18:21 AM,188,0
08/29/2018 10:18:39 AM,185,0
08/29/2018 10:18:58 AM,204,0
08/29/2018 10:19:17 AM,206,0
08/29/2018 10:19:35 AM,216,0
08/29/2018 10:19:54 AM,212,0
08/29/2018 10:20:13 AM,428,0
08/29/2018 10:20:32 AM,274,0
08/29/2018 10:20:50 AM,299,0
08/29/2018 10:21:09 AM,668,0
08/29/2018 10:21:28 AM,368,0
08/29/2018 10:21:46 AM,284,0
08/29/2018 10:22:05 AM,284,1
08/29/2018 10:22:24 AM,464,0
08/29/2018 10:22:43 AM,339,0
08/29/2018 10:23:01 AM,298,0
08/29/2018 10:23:20 AM,249,0
08/29/2018 10:23:39 AM,227,1
08/29/2018 10:23:57 AM,203,1
08/29/2018 10:24:16 AM,174,0
08/29/2018 10:24:35 AM,214,0
08/29/2018 10:24:54 AM,185,1
08/29/2018 10:25:12 AM,201,0
08/29/2018 10:25:31 AM,175,0
08/29/2018 10:25:50 AM,197,0
08/29/2018 10:26:08 AM,178,0
08/29/2018 10:26:27 AM,175,1
08/29/2018 10:26:46 AM,257,0
08/29/2018 10:27:05 AM,168,0
08/29/2018 10:27:23 AM,194,0
08/29/2018 10:27:42 AM,189,0
08/29/2018 10:28:01 AM,207,0
08/29/2018 10:28:19 AM,185,0
08/29/2018 10:28:38 AM,197,0
08/29/2018 10:28:57 AM,183,0
08/29/2018 10:29:15 AM,187,0
08/29/2018 10:29:34 AM,206,0
08/29/2018 10:29:53 AM,214,0
08/29/2018 10:30:12 AM,205,0
08/29/2018 10:30:30 AM,204,0
08/29/2018 10:30:49 AM,223,0
08/29/2018 10:31:08 AM,205,0
08/29/2018 10:31:26 AM,202,0
08/29/2018 10:31:45 AM,267,0
08/29/2018 10:32:04 AM,274,0
08/29/2018 10:32:23 AM,327,0
08/29/2018 10:32:41 AM,323,1
08/29/2018 10:33:00 AM,349,0
08/29/2018 10:33:19 AM,316,0
08/29/2018 10:33:37 AM,328,0
